title,type,due,points
Homework 1 - Introduction,homework,2026-01-15,10
Reading Assignment Ch 1-3,reading,2026-01-17,5
Quiz 1 - Basics,quiz,2026-01-22,25
Homework 2 - Practice Problems,homework,2026-01-29,10
Lab Report 1,project,2026-02-05,50
Reading Assignment Ch 4-6,reading,2026-02-07,5
Quiz 2 - Advanced Topics,quiz,2026-02-12,25
Midterm Exam,exam,2026-02-19,100
Homework 3 - Analysis,homework,2026-02-26,10
Group Project Proposal,project,2026-03-05,30
Reading Assignment Ch 7-9,reading,2026-03-07,5
Quiz 3 - Application,quiz,2026-03-12,25
Homework 4 - Synthesis,homework,2026-03-19,10
Lab Report 2,project,2026-03-26,50
Review Session,review,2026-04-02,0
Final Exam,exam,2026-04-09,150
